Tableau 1
Id;011EC_Lot;012EC_Ouvrage;013EC_Localisation;014EC_Mode Constructif;Nom;Hauteur;Epaisseur;AI;AS;Sols en intersection;Sols coupés (u);Sols coupés (Ids);Sols coupants (u);Sols coupants (Ids);Sol au-dessus;Sol en-dessous;Fenêtres;Portes;Ouvertures;Murs imbriqués;Mur multicouche;Mur empilé;Profil modifié;Image;Catégorie;Section;Type prédéfini d'IFC;Exporter au format IFC sous;Exporter au format IFC;IfcGUID;Variantes;Extension inférieure;Extension supérieure;Volume;Surface;Phase de démolition;Phase de création;Commentaires;Longueur;Famille et type;Famille;Type;Nom de la famille;Nom du type;ID du type;Lié au volume;Structure;Identifiant;Ligne de justification;Utilisation structurelle;Partie inférieure attachée;Partie supérieure attachée;Décalage supérieur;Décalage inférieur;Contrainte inférieure;Hauteur non contrainte;Contrainte supérieure;Limite de pièce;Visible dans les nomenclatures;Légende détails;O - Finition;O - Teinte;Composition;IdGtcParameter;IdGtcParameterCreationTime;EIF_STR - Impact;Image du type;Note d'identification;Type: Type prédéfini d'IFC;Exporter le type au format IFC sous;Exporter le type au format IFC;Type IfcGUID;Modèle;Fabricant;Commentaires du type;URL;Description;Matériau structurel;Rugosité;Coefficient d'absorbance;Masse thermique;Résistance thermique (R);Coefficient de transfert thermique (U);Description de l'assemblage;Code d'assemblage;Retournement aux insertions;Retournement aux extrémités;Couleur vue détail faible;Motif vue détail faible;Marque de type;Protection contre l'incendie;Coût;Fonction;Largeur;T - Teinte;T - Finition;T - Accessoire;Finition;Teinte;Reférence;A une association;Enrobage d'armature - Autres faces;Enrobage d'armature - Face intérieure;Enrobage d'armature - Face extérieure
636637;;;;;EIF_STR - Mur ep. 20;3,28999999999977;0,2;-2,94000000000002;0,349999999999753;1;0;;0;;True;True;0;1;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRc;-1;0;0;2,22968706787151;11,1484353393619;Aucun(e);Nouvelle construction;;4,09457001196299;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;;2;0;0;0;0,0499999999999938;0,31;A&B_SS1;3,28999999999998;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636638;;;;;EIF_STR - Mur ep. 20;3,05999999999977;0,2;-2,94000000000002;0,119999999999752;0;0;;0;;True;True;0;0;0;0;False;False;True;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRb;-1;0;0;0,500267240383149;2,50133620191575;Aucun(e);Nouvelle construction;;1,85;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;;2;0;0;0;-0,180000000000006;0,31;A&B_SS1;3,05999999999998;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636641;;;;;EIF_STR - Mur ep. 20;2,87999999999577;0,2;-2,94000000000002;-0,0600000000042496;0;0;;0;;True;True;0;1;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRQ;-1;0;0;3,87185999999387;19,3592999999697;Aucun(e);Nouvelle construction;;7,10000000000015;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;;2;0;0;0;-0,360000000004008;0,31;A&B_SS1;2,87999999999598;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636642;;;;;EIF_STR - Mur ep. 20;2,87999999999529;0,2;-2,94000000000002;-0,0600000000047261;0;0;;0;;True;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRP;-1;0;0;2,93759999999513;14,6879999999756;Aucun(e);Nouvelle construction;;5,50999999999984;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;PV;2;0;0;0;-0,360000000004484;0,31;A&B_SS1;2,87999999999551;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636643;;;;;EIF_STR - Mur ep. 20;3,10999999999529;0,2;-2,94000000000002;0,169999999995274;0;0;;1;973376;False;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRO;-1;0;0;3,03953599999484;15,3250999999865;Aucun(e);Nouvelle construction;;5,50999999999984;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;PV;2;0;0;0;-0,130000000004484;0,31;A&B_SS1;3,10999999999551;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636644;;;;;EIF_STR - Mur ep. 20;2,88000000000025;0,2;-2,94000000000002;-0,0599999999997655;0;0;;0;;True;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRV;-1;0;0;3,95065395985408;19,8447204768467;Aucun(e);Nouvelle construction;;6,65385379962338;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;;2;0;0;0;-0,359999999999524;0,31;A&B_SS1;2,88000000000047;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636645;;;;;EIF_STR - Mur ep. 20;2,87999999999978;0,2;-2,94000000000002;-0,0600000000002414;0;0;;0;;True;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRU;-1;0;0;2,4016990113664;12,2993394392607;Aucun(e);Nouvelle construction;;4,48901233374107;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;PV;2;0;0;0;-0,36;0,31;A&B_SS1;2,87999999999999;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636646;;;;;EIF_STR - Mur ep. 20;2,99000000000026;0,2;-2,94000000000002;0,050000000000235;1;0;;0;;True;True;0;1;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRT;-1;0;0;2,14921911720125;10,8410391714041;Aucun(e);Nouvelle construction;;4,35568819075047;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;;2;0;0;0;-0,249999999999523;0,31;A&B_SS1;2,99000000000047;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636672;;;;;EIF_STR - Mur ep. 20;3,10999999999529;0,2;-2,94000000000002;0,169999999995275;0;0;;1;973376;True;True;0;1;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNSx;-1;0;0;2,68561999999521;13,5292999999757;Aucun(e);Nouvelle construction;;5,50999999999984;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;;2;0;0;0;-0,130000000004484;0,31;A&B_SS1;3,10999999999551;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636673;;;;;EIF_STR - Mur ep. 20;3,10999999999529;0,2;-2,94000000000002;0,169999999995274;1;0;;0;;True;True;0;1;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNSw;-1;0;0;2,83925999999517;14,1962999999757;Aucun(e);Nouvelle construction;;5,50999999999983;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;;2;0;0;0;-0,130000000004484;0,31;A&B_SS1;3,10999999999551;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
